email,recency_days,frequency,monetary_value,customer_segment
karinaanggraini481@gmail.com,173,5,3084033,⚠️ At Risk (VIPs)
ferdiputri279@gmail.com,123,6,1932925,⚠️ At Risk (VIPs)
rinahalim579@gmail.com,330,3,1549005,💤 Lost / Inactive
faisalsimbolon339@gmail.com,164,5,2089551,⚠️ At Risk (VIPs)
anggisusanti56@gmail.com,227,2,1240837,💤 Lost / Inactive
sarisari975@gmail.com,3,5,2183938,🛒 Regulars
kiranautami29@outlook.com,36,8,3785375,🛒 Regulars
iqbalutami726@gmail.com,918,3,1135000,💤 Lost / Inactive
nadiaaprilia916@yahoo.com,202,3,1719549,💤 Lost / Inactive
gitamaharani144@gmail.com,47,5,2357760,🛒 Regulars
wulanfauzi653@gmail.com,391,4,1691956,💤 Lost / Inactive
bagussembiring720@gmail.com,248,7,4574093,⚠️ At Risk (VIPs)
rizkyhartono743@gmail.com,514,2,1291772,💤 Lost / Inactive
selvipohan116@gmail.com,20,4,1145727,🛒 Regulars
dewiwardani903@outlook.com,45,5,1828777,🛒 Regulars
cintanugroho227@outlook.com,550,2,513281,💤 Lost / Inactive
suryayulianti110@outlook.com,16,4,1641000,🛒 Regulars
mawarsusanti487@yahoo.com,13,6,2689541,🛒 Regulars
citramaharani565@gmail.com,110,2,783169,🛒 Regulars
oliviasinaga984@yahoo.com,166,5,3969147,⚠️ At Risk (VIPs)
danianggraini46@gmail.com,29,4,3220880,🛒 Regulars
indrasembiring321@gmail.com,404,2,639522,💤 Lost / Inactive
fitrihasanah704@yahoo.com,103,4,2541455,🛒 Regulars
ranisimbolon977@gmail.com,147,4,2165625,💤 Lost / Inactive
niautami932@yahoo.com,132,5,2412714,⚠️ At Risk (VIPs)
hasnasinaga823@gmail.com,345,2,1364000,💤 Lost / Inactive
maulanahasanah141@yahoo.com,260,5,3103730,⚠️ At Risk (VIPs)
maulanahidayat651@gmail.com,1,5,1769644,🛒 Regulars
ekowijaya105@gmail.com,28,5,3289988,🛒 Regulars
adihalim184@gmail.com,49,3,2147454,🛒 Regulars
fitrisari527@gmail.com,25,4,2320000,🛒 Regulars
rakatanjung431@gmail.com,201,3,1222324,💤 Lost / Inactive
cintawardani913@gmail.com,111,4,2173929,🛒 Regulars
indahmaharani432@outlook.com,14,4,2471550,🛒 Regulars
selvisaputra713@gmail.com,252,4,2875790,💤 Lost / Inactive
mirasaputra670@gmail.com,319,3,3448873,💤 Lost / Inactive
srisiregar997@outlook.com,262,3,1848999,💤 Lost / Inactive
dimasaprilia991@outlook.com,30,4,2843148,🛒 Regulars
jokosaputra637@gmail.com,393,2,426784,💤 Lost / Inactive
maulanatarigan441@yahoo.com,796,1,149000,💤 Lost / Inactive
oliviacahyani465@gmail.com,14,2,585000,👋 New / Promising
linasuryadi604@gmail.com,36,3,1639581,🛒 Regulars
wahyukurniawan62@yahoo.com,605,3,2551000,💤 Lost / Inactive
satrioanggraini510@outlook.com,6,3,1699830,🛒 Regulars
fatimahsembiring922@gmail.com,105,2,1334000,🛒 Regulars
yusufginting154@gmail.com,167,3,3826462,💤 Lost / Inactive
diahnugroho316@gmail.com,58,3,2280000,🛒 Regulars
cintasinaga409@gmail.com,61,2,587000,🛒 Regulars
rismayulianti249@gmail.com,6,2,1296000,👋 New / Promising
gitahartono107@gmail.com,430,2,576000,💤 Lost / Inactive
srisaputri307@yahoo.com,277,5,2451000,⚠️ At Risk (VIPs)
nadiasinaga185@yahoo.com,337,3,996000,💤 Lost / Inactive
rendiiskandar486@gmail.com,289,3,1604000,💤 Lost / Inactive
dimasginting428@gmail.com,761,1,161982,💤 Lost / Inactive
yuliwardani907@yahoo.com,62,8,4197427,⚠️ At Risk (VIPs)
dimassaputri713@gmail.com,242,2,620578,💤 Lost / Inactive
dewisuryadi476@outlook.com,439,3,1531812,💤 Lost / Inactive
karinahutapea963@gmail.com,282,3,1413279,💤 Lost / Inactive
maulanahidayat932@gmail.com,469,1,179000,💤 Lost / Inactive
rinaputri314@outlook.com,298,2,678000,💤 Lost / Inactive
rezasiregar401@gmail.com,330,1,598000,💤 Lost / Inactive
rezahasanah916@outlook.com,2,2,1096000,👋 New / Promising
putraanggraini402@outlook.com,51,4,1582449,🛒 Regulars
soniasiregar576@gmail.com,458,3,1248896,💤 Lost / Inactive
mawarwardani805@yahoo.com,44,3,882352,🛒 Regulars
ratnacahyani461@yahoo.com,6,5,2819453,🛒 Regulars
riancahyani590@gmail.com,508,2,2576177,💤 Lost / Inactive
hanakurniawan971@gmail.com,419,2,476453,💤 Lost / Inactive
ayuanggraini88@gmail.com,57,2,613661,🛒 Regulars
veraputri462@gmail.com,69,2,125398,🛒 Regulars
diahsetiawan143@gmail.com,634,2,657000,💤 Lost / Inactive
adityasantoso141@gmail.com,522,1,520936,💤 Lost / Inactive
rizkypratama587@gmail.com,776,3,1083613,💤 Lost / Inactive
dionsetiawan408@outlook.com,29,4,1807670,🛒 Regulars
rinalestari281@outlook.com,287,5,4541451,⚠️ At Risk (VIPs)
dimaspohan181@gmail.com,51,5,2193526,🛒 Regulars
teguhsembiring648@gmail.com,166,5,1583158,⚠️ At Risk (VIPs)
auliakurniawan581@gmail.com,93,5,2992829,⚠️ At Risk (VIPs)
vivikurniawan687@outlook.com,43,6,2876882,🛒 Regulars
wulananggraini582@gmail.com,139,5,2407608,⚠️ At Risk (VIPs)
ratnapratama726@gmail.com,34,6,1541000,🛒 Regulars
adityahakim93@outlook.com,166,4,741443,💤 Lost / Inactive
adicahyani847@gmail.com,96,2,1117863,🛒 Regulars
yogaiskandar656@gmail.com,56,7,6108037,🏆 Champions
rendisaputri602@outlook.com,700,2,559100,💤 Lost / Inactive
tikasari361@gmail.com,4,6,1810237,🛒 Regulars
ratnawijaya194@outlook.com,38,4,2191306,🛒 Regulars
ajimanurung684@outlook.com,698,2,317000,💤 Lost / Inactive
hanawijaya455@gmail.com,611,3,1804554,💤 Lost / Inactive
indahutami812@gmail.com,218,7,4132942,⚠️ At Risk (VIPs)
nadiarahmawati470@gmail.com,26,6,4836144,🏆 Champions
ranimanurung842@yahoo.com,719,1,59000,💤 Lost / Inactive
fatimahhartono971@outlook.com,344,5,2495876,⚠️ At Risk (VIPs)
selvisetiawan626@outlook.com,18,7,4306674,🏆 Champions
arifkurniawan974@gmail.com,22,5,2296923,🛒 Regulars
ranisetiawan834@yahoo.com,188,2,879951,💤 Lost / Inactive
hanahalim116@yahoo.com,345,3,624193,💤 Lost / Inactive
salsaiskandar4@gmail.com,211,5,2108700,⚠️ At Risk (VIPs)
sarisetiawan34@yahoo.com,272,2,435467,💤 Lost / Inactive
adriansuryadi922@gmail.com,122,3,1563721,💤 Lost / Inactive
suryasari826@gmail.com,516,2,801703,💤 Lost / Inactive
wahyupohan752@yahoo.com,305,3,1674181,💤 Lost / Inactive
kiranapohan236@gmail.com,243,4,1538687,💤 Lost / Inactive
bayukurniawan344@gmail.com,138,2,790605,💤 Lost / Inactive
anggunsembiring394@outlook.com,165,5,2118353,⚠️ At Risk (VIPs)
mawarsaputri316@gmail.com,70,7,4198650,⚠️ At Risk (VIPs)
yogautami395@gmail.com,540,4,1087018,💤 Lost / Inactive
gitaaprilia798@yahoo.com,526,4,1294000,💤 Lost / Inactive
dionhutapea59@yahoo.com,307,3,1284754,💤 Lost / Inactive
liasetiawan113@outlook.com,403,4,1857047,💤 Lost / Inactive
selvihutapea123@gmail.com,185,5,3501623,⚠️ At Risk (VIPs)
fatimahsantoso570@outlook.com,498,3,1404000,💤 Lost / Inactive
yusufhakim726@gmail.com,114,4,544115,🛒 Regulars
sitihasanah207@gmail.com,47,3,2003062,🛒 Regulars
raniwijaya925@gmail.com,317,3,1211239,💤 Lost / Inactive
satriomaharani499@outlook.com,30,6,2028547,🛒 Regulars
citrasimbolon683@outlook.com,580,4,1478757,💤 Lost / Inactive
bayuyulianti70@gmail.com,104,3,1153081,🛒 Regulars
rakasetiawan516@yahoo.com,465,2,697000,💤 Lost / Inactive
adityahasanah109@gmail.com,119,5,3955627,⚠️ At Risk (VIPs)
budinugroho987@gmail.com,228,3,851365,💤 Lost / Inactive
antonwijaya952@gmail.com,171,4,1455548,💤 Lost / Inactive
nailasantoso371@gmail.com,90,5,2404283,⚠️ At Risk (VIPs)
rendisantoso180@gmail.com,69,6,4757048,⚠️ At Risk (VIPs)
tikaanggraini173@gmail.com,119,3,978042,🛒 Regulars
agusyulianti671@gmail.com,9,4,1304272,🛒 Regulars
salsatarigan387@gmail.com,77,6,2598325,⚠️ At Risk (VIPs)
cintarahmawati185@gmail.com,319,4,1955466,💤 Lost / Inactive
rizkysuryadi790@gmail.com,37,5,2362947,🛒 Regulars
rismahutapea496@gmail.com,174,3,1997017,💤 Lost / Inactive
rioramadhan123@gmail.com,32,7,4134291,🏆 Champions
jokotanjung67@gmail.com,104,4,2079048,🛒 Regulars
nailasari843@yahoo.com,1057,1,1613828,💤 Lost / Inactive
citratarigan589@gmail.com,148,5,1617948,⚠️ At Risk (VIPs)
wahyuputri762@gmail.com,38,7,3837251,🛒 Regulars
anggihasanah819@yahoo.com,1125,1,399000,💤 Lost / Inactive
dimasyulianti737@outlook.com,161,3,1609489,💤 Lost / Inactive
hasanhakim419@yahoo.com,204,3,404073,💤 Lost / Inactive
fajarsuryadi268@outlook.com,151,2,1776828,💤 Lost / Inactive
ajisuryadi302@yahoo.com,254,3,2336065,💤 Lost / Inactive
mirahartono855@gmail.com,45,4,3366126,🛒 Regulars
bintanghutapea662@gmail.com,21,4,1123000,🛒 Regulars
maulanahutapea408@outlook.com,373,4,2141762,💤 Lost / Inactive
nailaaprilia900@yahoo.com,138,3,799998,💤 Lost / Inactive
saripermata460@gmail.com,579,6,3027000,⚠️ At Risk (VIPs)
rendihakim282@gmail.com,191,2,1324391,💤 Lost / Inactive
wulansuryadi729@yahoo.com,61,3,2860000,🛒 Regulars
yogapohan289@outlook.com,3,3,810102,🛒 Regulars
yulihakim52@gmail.com,153,1,1435000,💤 Lost / Inactive
ratnasaputra720@gmail.com,86,4,1615666,🛒 Regulars
yuliwijaya833@gmail.com,122,5,3079489,⚠️ At Risk (VIPs)
sarianggraini19@gmail.com,60,5,1493560,🛒 Regulars
viviginting364@outlook.com,146,4,2127970,💤 Lost / Inactive
karinahalim120@gmail.com,110,2,1313000,🛒 Regulars
rianmanurung492@outlook.com,188,2,1606000,💤 Lost / Inactive
sitinugroho171@yahoo.com,40,3,1363813,🛒 Regulars
auliaputri651@outlook.com,32,3,2650963,🛒 Regulars
indahiskandar35@yahoo.com,156,2,767303,💤 Lost / Inactive
bagushasanah956@gmail.com,9,4,2041998,🛒 Regulars
rianwijaya597@gmail.com,747,2,1046000,💤 Lost / Inactive
nandayulianti514@yahoo.com,637,2,963833,💤 Lost / Inactive
andrecahyani668@gmail.com,358,1,407000,💤 Lost / Inactive
daffasiregar511@outlook.com,236,1,566357,💤 Lost / Inactive
bintangrahmawati578@gmail.com,148,3,2219000,💤 Lost / Inactive
rizkysetiawan266@outlook.com,242,1,449000,💤 Lost / Inactive
rinahidayat728@yahoo.com,8,8,3097928,🛒 Regulars
dewilestari943@gmail.com,200,5,2542256,⚠️ At Risk (VIPs)
angguniskandar838@yahoo.com,20,6,3084000,🛒 Regulars
pandukurniawan8@gmail.com,8,5,2404556,🛒 Regulars
rizkyyulianti483@gmail.com,13,6,1912231,🛒 Regulars
sarirahmawati106@gmail.com,79,7,2113979,⚠️ At Risk (VIPs)
baguspermata248@gmail.com,296,4,319126,💤 Lost / Inactive
bellafauzi172@outlook.com,81,8,2937740,⚠️ At Risk (VIPs)
hadicahyani930@gmail.com,24,5,2326918,🛒 Regulars
bagustanjung698@gmail.com,34,6,1926563,🛒 Regulars
rendimanurung639@gmail.com,22,4,1926863,🛒 Regulars
kiranahutapea603@gmail.com,290,3,1647916,💤 Lost / Inactive
hasanhalim751@gmail.com,8,8,3647982,🛒 Regulars
dimaskurniawan96@outlook.com,113,3,1471271,🛒 Regulars
anggunaprilia257@yahoo.com,651,4,1021141,💤 Lost / Inactive
putrasantoso301@gmail.com,114,7,3671773,⚠️ At Risk (VIPs)
vaniautami43@gmail.com,111,3,1243207,🛒 Regulars
sariaprilia745@outlook.com,239,4,1752008,💤 Lost / Inactive
putrahakim772@gmail.com,166,6,3120670,⚠️ At Risk (VIPs)
srimanurung943@yahoo.com,9,4,792004,🛒 Regulars
bellasaputra258@gmail.com,377,4,2461147,💤 Lost / Inactive
wulansimbolon941@outlook.com,171,5,2117230,⚠️ At Risk (VIPs)
jokosaputri679@outlook.com,257,4,1630304,💤 Lost / Inactive
indrawardani687@yahoo.com,508,2,602673,💤 Lost / Inactive
fatimahutami221@gmail.com,63,2,448673,🛒 Regulars
bambangwardani513@yahoo.com,13,4,988534,🛒 Regulars
indahlestari351@yahoo.com,448,2,726000,💤 Lost / Inactive
mawarkurniawan417@gmail.com,17,7,3083452,🛒 Regulars
putrilestari956@outlook.com,4,3,1232000,🛒 Regulars
hadisiregar710@outlook.com,144,3,477047,💤 Lost / Inactive
antonkurniawan511@gmail.com,78,6,4566463,⚠️ At Risk (VIPs)
gitacahyani621@outlook.com,98,5,1405761,⚠️ At Risk (VIPs)
liasusanti275@gmail.com,60,4,1922412,🛒 Regulars
iqbalfauzi287@gmail.com,181,4,1181604,💤 Lost / Inactive
gitalestari376@gmail.com,302,4,2286065,💤 Lost / Inactive
indrawardani658@gmail.com,167,6,2477975,⚠️ At Risk (VIPs)
salsaputri964@yahoo.com,142,6,2003583,⚠️ At Risk (VIPs)
indrasantoso147@gmail.com,149,2,657000,💤 Lost / Inactive
nandapratama274@gmail.com,221,2,251357,💤 Lost / Inactive
vaniasantoso492@gmail.com,293,5,2251726,⚠️ At Risk (VIPs)
rakalestari370@outlook.com,62,4,1690074,🛒 Regulars
auliasimbolon901@gmail.com,607,1,1016000,💤 Lost / Inactive
antonkurniawan55@gmail.com,164,4,1635490,💤 Lost / Inactive
andihartono395@gmail.com,181,7,2918396,⚠️ At Risk (VIPs)
riokurniawan215@yahoo.com,54,4,2029540,🛒 Regulars
auliahalim21@outlook.com,77,3,1704995,🛒 Regulars
rakasusanti663@yahoo.com,135,3,1345484,💤 Lost / Inactive
andisuryadi69@yahoo.com,239,2,747000,💤 Lost / Inactive
citrasetiawan760@yahoo.com,44,6,3333717,🛒 Regulars
daniramadhan620@gmail.com,271,4,2612027,💤 Lost / Inactive
bambangkurniawan434@gmail.com,244,6,3855000,⚠️ At Risk (VIPs)
mirapohan18@gmail.com,108,5,3806178,⚠️ At Risk (VIPs)
srikurniawan955@gmail.com,279,5,3119526,⚠️ At Risk (VIPs)
irfanpohan116@outlook.com,181,5,1351559,⚠️ At Risk (VIPs)
vivisetiawan531@outlook.com,281,3,561788,💤 Lost / Inactive
yulicahyani90@gmail.com,8,6,3857039,🛒 Regulars
bambanglestari237@yahoo.com,9,7,2995670,🛒 Regulars
bayutarigan570@gmail.com,204,4,2765156,💤 Lost / Inactive
dionsusanti925@outlook.com,252,1,599000,💤 Lost / Inactive
auliahalim578@gmail.com,180,3,484081,💤 Lost / Inactive
yogasari947@gmail.com,402,3,1466265,💤 Lost / Inactive
irfanfauzi538@yahoo.com,105,3,2782627,🛒 Regulars
zahralestari480@gmail.com,85,3,771742,🛒 Regulars
arifwijaya895@outlook.com,16,5,2942786,🛒 Regulars
rizkywardani860@outlook.com,114,2,633528,🛒 Regulars
hasnasinaga642@outlook.com,39,6,3423912,🛒 Regulars
karinatanjung888@yahoo.com,408,3,1077000,💤 Lost / Inactive
hanasimbolon349@yahoo.com,229,3,5034443,⚠️ At Risk (VIPs)
ajipratama225@yahoo.com,16,3,1872689,🛒 Regulars
vaniasaputra85@yahoo.com,22,1,299000,👋 New / Promising
ekosuryadi88@outlook.com,8,5,835247,🛒 Regulars
satriofauzi222@gmail.com,12,4,1658399,🛒 Regulars
hanaginting890@gmail.com,106,4,1924142,🛒 Regulars
ranisiregar248@gmail.com,6,5,962808,🛒 Regulars
daffasantoso771@gmail.com,378,1,79000,💤 Lost / Inactive
hadifauzi621@yahoo.com,5,7,6615921,🏆 Champions
andisaputri492@outlook.com,310,2,845000,💤 Lost / Inactive
hasankurniawan88@gmail.com,66,5,1245786,⚠️ At Risk (VIPs)
mayasiregar683@outlook.com,6,4,823646,🛒 Regulars
shintahartono82@outlook.com,1110,1,119000,💤 Lost / Inactive
rioramadhan105@outlook.com,385,3,3366688,💤 Lost / Inactive
dionsaputra474@gmail.com,47,7,2836870,🛒 Regulars
citrasembiring466@gmail.com,248,1,111686,💤 Lost / Inactive
putricahyani122@outlook.com,423,4,1422550,💤 Lost / Inactive
nadiayulianti814@gmail.com,112,2,829896,🛒 Regulars
nabilapohan776@outlook.com,256,5,3699458,⚠️ At Risk (VIPs)
doniputri920@outlook.com,11,4,2561830,🛒 Regulars
nabilasetiawan764@gmail.com,26,6,1707735,🛒 Regulars
vaniafauzi765@yahoo.com,27,4,1876536,🛒 Regulars
ajiwijaya475@gmail.com,35,3,374675,🛒 Regulars
antonyulianti394@yahoo.com,566,2,730070,💤 Lost / Inactive
satriohutapea430@outlook.com,460,1,556000,💤 Lost / Inactive
alyahalim38@gmail.com,162,1,208000,💤 Lost / Inactive
rezaramadhan262@yahoo.com,353,1,378000,💤 Lost / Inactive
selvisinaga876@yahoo.com,64,4,2201052,🛒 Regulars
bellaaprilia271@gmail.com,49,4,1802000,🛒 Regulars
budiramadhan17@outlook.com,37,1,268000,🛒 Regulars
fatimahsaputri830@gmail.com,223,4,1414593,💤 Lost / Inactive
oliviasuryadi408@outlook.com,131,4,2108661,💤 Lost / Inactive
anggunsimbolon687@outlook.com,301,1,916000,💤 Lost / Inactive
sarimanurung907@gmail.com,552,3,1313000,💤 Lost / Inactive
rakayulianti504@yahoo.com,712,2,686000,💤 Lost / Inactive
nandayulianti628@gmail.com,563,3,2111000,💤 Lost / Inactive
ratnacahyani294@gmail.com,80,2,1161252,🛒 Regulars
mirapratama267@gmail.com,496,1,897000,💤 Lost / Inactive
vivisari904@yahoo.com,300,2,797713,💤 Lost / Inactive
mawarmanurung83@gmail.com,474,3,1495945,💤 Lost / Inactive
daffarahmawati197@outlook.com,943,1,199000,💤 Lost / Inactive
arifhartono334@gmail.com,34,3,824076,🛒 Regulars
melatiwardani987@gmail.com,131,1,549000,💤 Lost / Inactive
yulirahmawati450@gmail.com,83,8,2779509,⚠️ At Risk (VIPs)
selvisimbolon417@outlook.com,11,5,1786056,🛒 Regulars
anggisetiawan894@outlook.com,401,5,3150679,⚠️ At Risk (VIPs)
linapohan759@yahoo.com,160,3,1626253,💤 Lost / Inactive
hasnasari968@outlook.com,381,2,1395000,💤 Lost / Inactive
mawarcahyani609@gmail.com,151,5,2676997,⚠️ At Risk (VIPs)
selvirahmawati310@outlook.com,47,6,2472231,🛒 Regulars
riohidayat620@gmail.com,331,2,803474,💤 Lost / Inactive
ratnasari920@gmail.com,1,5,3321714,🛒 Regulars
melatiwijaya91@gmail.com,152,2,1234704,💤 Lost / Inactive
mawarrahmawati456@gmail.com,267,4,2245798,💤 Lost / Inactive
anggimanurung116@gmail.com,27,8,5109045,🏆 Champions
hadilestari177@gmail.com,17,9,3100767,🛒 Regulars
bambanghidayat865@gmail.com,619,4,2215944,💤 Lost / Inactive
toninugroho397@gmail.com,55,5,2179000,🛒 Regulars
iqbalsetiawan152@yahoo.com,176,4,2767460,💤 Lost / Inactive
nandahartono835@gmail.com,707,3,1425499,💤 Lost / Inactive
bayuutami165@gmail.com,188,5,2335615,⚠️ At Risk (VIPs)
soniasari223@gmail.com,160,3,1473897,💤 Lost / Inactive
putriyulianti824@gmail.com,138,4,2276761,💤 Lost / Inactive
veraiskandar71@yahoo.com,129,7,3887425,⚠️ At Risk (VIPs)
teguhhutapea177@outlook.com,7,8,3537256,🛒 Regulars
sarisetiawan961@yahoo.com,24,5,2388819,🛒 Regulars
putrahasanah3@yahoo.com,138,3,444499,💤 Lost / Inactive
putrapohan349@gmail.com,596,2,729821,💤 Lost / Inactive
cintacahyani560@gmail.com,243,2,272006,💤 Lost / Inactive
galihputri742@gmail.com,84,4,877202,🛒 Regulars
maulanautami308@yahoo.com,26,6,1766673,🛒 Regulars
baguspohan488@outlook.com,55,10,2862536,🛒 Regulars
sitiutami608@gmail.com,45,4,1779000,🛒 Regulars
rezafauzi677@gmail.com,53,4,2341000,🛒 Regulars
kiranamaharani406@gmail.com,26,6,4036106,🏆 Champions
ratnatarigan862@gmail.com,209,4,4049623,⚠️ At Risk (VIPs)
indahyulianti421@gmail.com,39,8,3887246,🛒 Regulars
panducahyani510@gmail.com,439,2,1441273,💤 Lost / Inactive
melatifauzi396@gmail.com,19,6,2438858,🛒 Regulars
angguniskandar663@outlook.com,116,3,625000,🛒 Regulars
wulanrahmawati649@gmail.com,389,5,2767629,⚠️ At Risk (VIPs)
gitarahmawati276@outlook.com,90,5,3042173,⚠️ At Risk (VIPs)
cintanugroho983@outlook.com,30,8,2153164,🛒 Regulars
selviputri402@gmail.com,130,5,1550728,⚠️ At Risk (VIPs)
citrasusanti756@gmail.com,229,2,1756512,💤 Lost / Inactive
nabilalestari680@gmail.com,264,5,3964102,⚠️ At Risk (VIPs)
anggihidayat635@gmail.com,82,5,2637461,⚠️ At Risk (VIPs)
kiranawardani722@gmail.com,12,3,2600000,🛒 Regulars
andresembiring976@gmail.com,403,5,2794214,⚠️ At Risk (VIPs)
hasnasantoso943@yahoo.com,125,4,1437887,💤 Lost / Inactive
rendikurniawan959@outlook.com,152,3,952047,💤 Lost / Inactive
ferdihutapea87@gmail.com,233,3,1076000,💤 Lost / Inactive
nadiasaputri776@outlook.com,289,4,2555437,💤 Lost / Inactive
alyakurniawan20@gmail.com,569,3,1753000,💤 Lost / Inactive
irfansaputri191@gmail.com,154,7,4352423,⚠️ At Risk (VIPs)
nadiasimbolon417@gmail.com,8,5,2377496,🛒 Regulars
hasnapermata435@yahoo.com,26,5,1904850,🛒 Regulars
ridhowardani521@outlook.com,286,2,1459052,💤 Lost / Inactive
dionlestari283@gmail.com,292,5,2857681,⚠️ At Risk (VIPs)
rianiskandar90@outlook.com,426,7,4203316,⚠️ At Risk (VIPs)
suryatanjung425@yahoo.com,786,2,1320592,💤 Lost / Inactive
ekohutapea470@outlook.com,314,3,530586,💤 Lost / Inactive
megasantoso107@gmail.com,18,5,1711974,🛒 Regulars
sitiyulianti216@outlook.com,57,7,4081290,🏆 Champions
suryakurniawan470@yahoo.com,4,5,2939140,🛒 Regulars
rismapratama158@gmail.com,614,2,514644,💤 Lost / Inactive
kiranatanjung219@gmail.com,79,5,2983564,⚠️ At Risk (VIPs)
shintaramadhan922@gmail.com,692,2,916000,💤 Lost / Inactive
danihalim239@gmail.com,36,3,1951679,🛒 Regulars
taniayulianti661@gmail.com,483,2,503965,💤 Lost / Inactive
nadiaiskandar962@gmail.com,12,4,1028492,🛒 Regulars
rizkysimbolon821@yahoo.com,2,4,3567857,🛒 Regulars
nailayulianti592@gmail.com,7,2,477000,👋 New / Promising
putrisembiring132@yahoo.com,20,2,1284000,👋 New / Promising
niaputri478@gmail.com,101,4,1826605,🛒 Regulars
sarisembiring226@gmail.com,398,2,2135995,💤 Lost / Inactive
melatipratama252@gmail.com,876,2,706000,💤 Lost / Inactive
haditarigan615@gmail.com,642,1,1196000,💤 Lost / Inactive
hasanputri423@outlook.com,403,2,328000,💤 Lost / Inactive
irfansantoso386@yahoo.com,294,4,3450440,💤 Lost / Inactive
indahpohan94@gmail.com,140,1,279000,💤 Lost / Inactive
andiwardani111@outlook.com,22,1,576000,👋 New / Promising
nadiahakim965@gmail.com,117,2,797924,🛒 Regulars
doniwijaya27@gmail.com,26,3,836842,🛒 Regulars
daffaiskandar457@yahoo.com,258,1,208000,💤 Lost / Inactive
tikasinaga145@yahoo.com,195,3,1230887,💤 Lost / Inactive
galihrahmawati879@gmail.com,852,1,527000,💤 Lost / Inactive
hanaginting167@yahoo.com,48,6,1544654,🛒 Regulars
budikurniawan660@gmail.com,309,5,2211740,⚠️ At Risk (VIPs)
yulinugroho572@outlook.com,23,4,2225897,🛒 Regulars
rendihasanah509@yahoo.com,44,4,2630497,🛒 Regulars
tikahartono122@gmail.com,274,7,1370000,⚠️ At Risk (VIPs)
vivilestari325@gmail.com,24,9,4865145,🏆 Champions
kiranahidayat664@gmail.com,584,2,965428,💤 Lost / Inactive
anggitarigan159@gmail.com,2,4,1640619,🛒 Regulars
megatanjung782@gmail.com,133,5,1571401,⚠️ At Risk (VIPs)
galihsari485@outlook.com,522,4,2363144,💤 Lost / Inactive
rinahutapea4@yahoo.com,1,5,2352636,🛒 Regulars
anggisetiawan709@gmail.com,47,5,2936787,🛒 Regulars
rianputri371@gmail.com,233,5,2501605,⚠️ At Risk (VIPs)
satriopohan178@yahoo.com,285,4,1245058,💤 Lost / Inactive
zahrasuryadi603@yahoo.com,230,5,1443028,⚠️ At Risk (VIPs)
fajarsiregar913@gmail.com,49,6,3679779,🛒 Regulars
diahhutapea718@gmail.com,282,2,876191,💤 Lost / Inactive
dewikurniawan183@outlook.com,148,4,1141190,💤 Lost / Inactive
angginugroho455@gmail.com,21,7,2289314,🛒 Regulars
rakalestari703@gmail.com,338,2,806871,💤 Lost / Inactive
riannugroho171@yahoo.com,40,5,3716401,🛒 Regulars
fatimahsetiawan70@yahoo.com,67,7,3955695,⚠️ At Risk (VIPs)
agusaprilia870@outlook.com,98,9,2362709,⚠️ At Risk (VIPs)
kiranawardani15@outlook.com,129,5,1094017,⚠️ At Risk (VIPs)
nandasari784@gmail.com,186,4,3082712,💤 Lost / Inactive
